#ap2016,anp2016,b2017,r2017,hindi,code,desc,b2018
"","","","","","3451","Secretariat - Economic Services",""
"200","0","300","1500","!","61.00.50","Other Charges","1900"
"16795","0","15800","19000",":T","","Total:NASA ISRO Synthetic Aperture Radar Mission (NISAR)","22000"
"","","","","*%-33..","62","Resourcesat-3S & 3SA",""
"0","0","0","0","*G","62.00.03","Overtime Allowance","0"
"0","0","2600","1600","4 ","62.00.11","Domestic Travel Expenses","5800"
"0","0","1000","500",",4","62.00.12","Foreign Travel Expenses","3500"
"0","0","2200","2200","%4","62.00.13","Office Expenses","9800"
"0","0","100","2000","!4","62.00.20","Other Administrative Expenses","8000"
"0","0","1100","1100","7","62.00.21","Supplies & Materials","5000"
"0","0","0","0",",:","62.00.26","Advertising & Publicity","1300"
"0","0","100","500","%%","62.00.27","Minor Works","5000"
"0","0","600","200","4","62.00.28","Professional Services","1000"
"0","0","600","200","!,","62.00.30","Other Contractual Services","7000"
"0","0","200","200","!","62.00.50","Other Charges","10500"
"0","0","8500","8500",": *%-33..","","Total:Resourcesat-3S & 3SA","56900"
"","","","","',(...)","63","Master Control Facility (MCF)",""
"44095","327104","387700","418000","","63.00.01","Salaries","430000"
"0","299","400","400","","63.00.02","Wages","400"
"0","83","200","200","*G","63.00.03","Overtime Allowance","200"
"9946","6554","16000","17000","10","63.00.06","Medical Treatment","17000"
"2200","500","4000","5500","4 ","63.00.11","Domestic Travel Expenses","4000"
"356","125","1000","1000",",4","63.00.12","Foreign Travel Expenses","1000"
"73861","10025","89000","90000","%4","63.00.13","Office Expenses","92100"
"0","0","250","200","1,","63.00.14","Rent, Rates & Taxes","250"
"0","6300","6500","7600","!4","63.00.20","Other Administrative Expenses","7250"
"15900","6098","25000","20000","7","63.00.21","Supplies & Materials","26500"
"700","799","2000","2000","","63.00.24","POL","2000"
"0","1599","1400","1600",",:","63.00.26","Advertising & Publicity","1700"
"29944","4800","51500","45000","%%","63.00.27","Minor Works","66000"
"110595","39400","171914","162000","4","63.00.28","Professional Services","166000"
"4000","1600","10500","14000","!,","63.00.30","Other Contractual Services","15500"
"0","198","300","300","!","63.00.31","Grant-in-aid - General","300"
"0","494","800","600",",G","63.00.34","Scholarships & Stipends","800"
"0","0","200","200","","63.00.50","Other Charges- Charged","100"
"3000","2762","11200","11200","","","Voted","11500"
"","","","","I%(...)","63.96","Swachhta Action Plan (SAP)",""
"0","0","0","0","%%","63.96.27","Minor Works","4000"
"","","","","?@","63.99","Information Technology",""
"1900","1415","3900","8900","%4","63.99.13","Office Expenses","5400"
"5700","2000","8600","8300","!","63.99.50","Other Charges","8000"
"302197","412155","792364","814000",": ',(...)","","Total:Master Control Facility (MCF)","860000"
"0","0","200","200","*","","Charged","100"
"302197","412155","792164","813800","","","Voted","859900"
"","","","","*+","64","Indian Space Research Organisation Headquarters (ISRO Hq)",""
"0","376259","458600","462600","","64.00.01","Salaries","476100"
"0","0","50","20","","64.00.02","Wages","20"
"0","120","200","150","*G","64.00.03","Overtime Allowance","150"
"0","69980","60000","64900","10","64.00.06","Medical Treatment","65000"
"0","21762","24600","37400","4 ","64.00.11","Domestic Travel Expenses","37600"
"0","15872","21000","15600",",4","64.00.12","Foreign Travel Expenses","15800"
"0","82868","107500","106800","%4","64.00.13","Office Expenses","93400"
"0","5819","10500","7500","1,","64.00.14","Rent, Rates & Taxes","7800"
"0","0","100","20","","64.00.16","Publications","20"
"0","47164","83000","80600","!4","64.00.20","Other Administrative Expenses","110000"
"0","0","100","100","7","64.00.21","Supplies & Materials","100"
"0","4499","4500","5000","","64.00.24","POL","5190"
"0","14346","16600","16600",",:","64.00.26","Advertising & Publicity","16600"
"0","100898","100000","110000","%%","64.00.27","Minor Works","120000"
"0","30497","30000","40000","4","64.00.28","Professional Services","41000"
"0","86100","85000","150000","!,","64.00.30","Other Contractual Services","140000"
"18030","0","48100","25000","!","64.00.31","Grant-in-aid - General","36000"
"0","0","100","20","","64.00.32","Contributions","20"
"0","308","400","600",",G","64.00.34","Scholarships & Stipends","700"
"0","0","200","100","","64.00.50","Other Charges- Charged","200"
"18766","43628","222550","140100","","","Voted","238000"
"","","","","I%(...)","64.96","Swachhta Action Plan (SAP)",""
"0","0","0","0","%%","64.96.27","Minor Works","9300"
"","","","","?@","64.99","Information Technology",""
"62565","11265","9400","35000","%4","64.99.13","Office Expenses","8000"
"0","8368","9000","1890","!","64.99.50","Other Charges","9000"
"99361","919753","1291500","1300000",":*+","","Total:Indian Space Research Organisation Headquarters (ISRO Hq)","1430000"
"0","0","200","100","*","","Charged","200"
"99361","919753","1291300","1299900","","","Voted","1429800"
"","","","","*%-33","65","Resourcesat-3 & 3A",""
"0","0","5000","102500","","65.00.01","Salaries","20000"
"0","0","500","0","*G","65.00.03","Overtime Allowance","0"
"0","0","4000","2400","4 ","65.00.11","Domestic Travel Expenses","3100"
"0","0","500","1500",",4","65.00.12","Foreign Travel Expenses","1200"
"0","0","4000","4300","%4","65.00.13","Office Expenses","5000"
"0","0","500","4000","!4","65.00.20","Other Administrative Expenses","4800"
"0","0","7000","2500","7","65.00.21","Supplies & Materials","2500"
"0","0","0","0",",:","65.00.26","Advertising & Publicity","1000"
"0","0","500","2500","%%","65.00.27","Minor Works","3000"
"0","0","1000","1000","4","65.00.28","Professional Services","1000"
"0","0","1000","3000","!,","65.00.30","Other Contractual Services","3600"
"0","0","1000","4300","!","65.00.50","Other Charges","4800"
"0","0","25000","128000",": *%-33","","Total:Resourcesat-3 & 3A","50000"
"","","","","I,(...) ","66","High Resolution Satellite (HRSAT) Constellation",""
"0","0","0","0","","66.00.01","Salaries","85000"
"0","0","2","0","*G","66.00.03","Overtime Allowance","0"
"0","0","40","5900","4 ","66.00.11","Domestic Travel Expenses","8000"
"0","0","20","2000",",4","66.00.12","Foreign Travel Expenses","3000"
"0","0","22","6800","%4","66.00.13","Office Expenses","8400"
"0","0","2","3700","!4","66.00.20","Other Administrative Expenses","4500"
"0","0","5","3000","7","66.00.21","Supplies & Materials","4000"
"0","0","0","0",",:","66.00.26","Advertising & Publicity","300"
"0","0","3","800","%%","66.00.27","Minor Works","1000"
"0","0","2","1000","4","66.00.28","Professional Services","1500"
"0","0","2","5400","!,","66.00.30","Other Contractual Services","10000"
"0","0","2","3800","!","66.00.50","Other Charges","4300"
"0","0","100","32400",": I,(...) ","","Total:High Resolution Satellite (HRSAT) Constellation","130000"
"","","","",",","67","Semi Cryogenic Stage Development",""
"0","0","2","0","*G","67.00.03","Overtime Allowance","0"
"0","0","30","0","4 ","67.00.11","Domestic Travel Expenses","10"
"0","0","33","0","%4","67.00.13","Office Expenses","10"
"0","0","10","0","!4","67.00.20","Other Administrative Expenses","10"
"0","0","14","0","7","67.00.21","Supplies & Materials","20"
"0","0","2","0","%%","67.00.27","Minor Works","10"
"0","0","5","0","4","67.00.28","Professional Services","10"
"0","0","2","0","!,","67.00.30","Other Contractual Services","20"
"0","0","2","0","!","67.00.50","Other Charges","10"
"0","0","100","0",":,","","Total:Semi Cryogenic Stage Development","100"
"","","","","N*","68","Semi Cryogenic Engine Clustering",""
"0","0","2","0","*G","68.00.03","Overtime Allowance","2"
"0","0","40","0","4 ","68.00.11","Domestic Travel Expenses","40"
"0","0","40","0","%4","68.00.13","Office Expenses","40"
"0","0","2","0","!4","68.00.20","Other Administrative Expenses","2"
"0","0","5","0","7","68.00.21","Supplies & Materials","5"
"0","0","5","0","%%","68.00.27","Minor Works","5"
"0","0","2","0","4","68.00.28","Professional Services","2"
"0","0","2","0","!,","68.00.30","Other Contractual Services","2"
"0","0","2","0","!","68.00.50","Other Charges","2"
"0","0","100","0",":N*","","Total:Semi Cryogenic Engine Clustering","100"
"","","","","!,","69","Advanced Launch Vehicle Development",""
"0","0","2","0","*G","69.00.03","Overtime Allowance","2"
"0","0","40","0","4 ","69.00.11","Domestic Travel Expenses","40"
"0","0","40","0","%4","69.00.13","Office Expenses","40"
"0","0","2","0","!4","69.00.20","Other Administrative Expenses","2"
"0","0","33","0","7","69.00.21","Supplies & Materials","5"
"0","0","5","0","%%","69.00.27","Minor Works","5"
"0","0","2","0","4","69.00.28","Professional Services","2"
"0","0","2","0","!,","69.00.30","Other Contractual Services","2"
"0","0","2","0","!","69.00.50","Other Charges","2"
"0","0","128","0",": !,","","Total:Advanced Launch Vehicle Development","100"
"","","","",".... 0*(-6)","70","PSLV Continuation Programme (Phase-6)",""
"0","0","0","0","*G","70.00.03","Overtime Allowance","10"
"0","0","0","0","4 ","70.00.11","Domestic Travel Expenses","30"
"0","0","0","0","%4","70.00.13","Office Expenses","20"
"0","0","0","0","!4","70.00.20","Other Administrative Expenses","10"
"0","0","0","0","7","70.00.21","Supplies & Materials","50"
"0","0","0","0","%%","70.00.27","Minor Works","20"
"0","0","0","0","!,","70.00.30","Other Contractual Services","50"
"0","0","0","0","!","70.00.50","Other Charges","10"
"0","0","0","0",": .... 0*","","Total:PSLV Continuation Programme (Phase-6)","200"
"","","","",".... % -III 0*","71","GSLV Mk-III Continuation Programme (Phase-1)",""
"0","0","0","0","","71.00.01","Salaries","50"
"0","0","0","0","*G","71.00.03","Overtime Allowance","10"
"0","0","0","0","4 ","71.00.11","Domestic Travel Expenses","20"
"0","0","0","0",",4","71.00.12","Foreign Travel Expenses","10"
"0","0","0","0","%4","71.00.13","Office Expenses","10"
"0","0","0","0","7","71.00.21","Supplies & Materials","50"
"0","0","0","0","%%","71.00.27","Minor Works","10"
"0","0","0","0","4","71.00.28","Professional Services","10"
"0","0","0","0","!,","71.00.30","Other Contractual Services","10"
"0","0","0","0","!","71.00.50","Other Charges","20"
"0","0","0","0",": .... % -III 0 ","","Total:GSLV Mk-III Continuation Programme (Phase-1)","200"
"","","","","+V?@ ,","72","Technology Development for Orbital Module",""
"0","0","0","0","4 ","72.00.11","Domestic Travel Expenses","20"
"0","0","0","0","%4","72.00.13","Office Expenses","20"
"0","0","0","0","!4","72.00.20","Other Administrative Expenses","10"
"0","0","0","0","7","72.00.21","Supplies & Materials","10"
"0","0","0","0","%%","72.00.27","Minor Works","10"
"0","0","0","0","!,","72.00.30","Other Contractual Services","20"
"0","0","0","0","!","72.00.50","Other Charges","10"
"0","0","0","0",": +V?@ ,","","Total:Technology Development for Orbital Module","100"
"","","","","","73","Small Satellite Launch Vehicle (SSLV) Development",""
"0","0","0","0","4 ","73.00.11","Domestic Travel Expenses","20"
"0","0","0","0","%4","73.00.13","Office Expenses","20"
"0","0","0","0","!4","73.00.20","Other Administrative Expenses","10"
"0","0","0","0","7","73.00.21","Supplies & Materials","10"
"0","0","0","0","%%","73.00.27","Minor Works","10"
"0","0","0","0","!,","73.00.30","Other Contractual Services","20"
"0","0","0","0","!","73.00.50","Other Charges","10"
"0","0","0","0",":","","Total:Small Satellite Launch Vehicle (SSLV) Development","100"
"21232375","10990154","35162962","38731400",": *+ ?@ (%)","","Total:Space Technology","38858700"
"0","1207","5000","5000","*","","Charged","5000"
"21232375","10988947","35157962","38726400","","","Voted","38853700"
"","","","","*+('%) (/)","3402","Space Research",""
"","","","","*+(%)","00.102","Space Applications",""
"","","","","*+()","01","Space Applications Centre (SAC)",""
"643999","1920000","2633000","2960000","","01.00.01","Salaries","3060000"
"0","86","100","600","","01.00.02","Wages","500"
"0","473","500","700","*G","01.00.03","Overtime Allowance","500"
"164998","0","140000","170000","10","01.00.06","Medical Treatment","170000"
"34986","0","53000","53000","4 ","01.00.11","Domestic Travel Expenses","53000"
"8499","500","7000","10000",",4","01.00.12","Foreign Travel Expenses","10000"
"39000","1000","52000","232000","%4","01.00.13","Office Expenses","235200"
"0","9100","10000","12000","","01.00.14","Rent, Rates & Taxes","15000"
"0","13050","12500","20000","!4","01.00.20","Other Administrative Expenses","22000"
"1386500","0","2048121","1940000","7","01.00.21","Supplies & Materials","2400000"
"4499","500","6000","6200","","01.00.24","POL","8000"
"0","9497","10000","12000",",:","01.00.26","Advertising & Publicity","12500"
"137499","0","250000","220000","","01.00.27","Minor Works","225000"
"135494","0","125000","135000","4","01.00.28","Professional Services","140000"
"2000","500","3000","120000","!,","01.00.30","Other Contractual Services","100000"
"0","500","500","500","","01.00.31","Grant-in-aid - General","500"
"0","12143","19000","20000",",G","01.00.34","Scholarships & Stipends","22500"
"0","0","500","500","!- *","01.00.50","Other Charges- Charged","500"
"243997","0","240000","100000","","","Voted","100000"
"","","","","I%(...)","01.96","Swachhta Action Plan (SAP)",""
"0","0","0","0","","01.96.27","Minor Works","9800"
"","","","","","01.99","Information Technology",""
"4498","500","4000","5000","%4","01.99.13","Office Expenses","5000"
"1999","500","2000","2500","!","01.99.50","Other Charges","2500"
"2807968","1968349","5616221","6020000",": *+()","","Total:Space Applications Centre (SAC)","6592500"
"0","0","500","500","*","","Charged","500"
"2807968","1968349","5615721","6019500","","","Voted","6592000"
"","","","",",O+","02","Development & Educational Communication Unit (DECU)",""
"9000","71000","86000","86000","","02.00.01","Salaries","88000"
"0","92","100","100","","02.00.02","Wages","100"
"0","9","100","50","*G","02.00.03","Overtime Allowance","50"
"0","100","100","0","10","02.00.06","Medical Treatment","0"
"7982","499","8000","8000","4 ","02.00.11","Domestic Travel Expenses","8000"
"0","0","200","0",",4","02.00.12","Foreign Travel Expenses","0"
"7000","0","7800","4500","%4","02.00.13","Office Expenses","2000"
"0","1000","1500","0","1,","02.00.14","Rent, Rates & Taxes","0"
"0","1100","500","300","!4","02.00.20","Other Administrative Expenses","3300"
"449","0","2800","1500","7","02.00.21","Supplies & Materials","1700"
"1000","400","1800","300","","02.00.24","POL","300"
"0","100","100","100",",:","02.00.26","Advertising & Publicity","100"
"2500","1500","3700","4000","%%","02.00.27","Minor Works","1700"
"100","100","200","350","4","02.00.28","Professional Services","1150"
"2000","0","4000","1000","!,","02.00.30","Other Contractual Services","1000"
"0","0","100","0",",G","02.00.34","Scholarships & Stipends","0"
"94500","0","145300","43000","!","02.00.50","Other Charges","59600"
"","","","","?@","02.99","Information Technology",""
"1500","491","2000","2000","%4","02.99.13","Office Expenses","2000"
"499","498","1000","1000","!","02.99.50","Other Charges","1000"
"126530","76889","265300","152200",": ,O+","","Total:Development & Educational Communication Unit (DECU)","170000"
"","","","","-+(....)","04","Earth Observation Applications Mission (EOAM)",""
"0","0","7000","3100","4 ","04.00.11","Domestic Travel Expenses","3950"
"0","0","500","50","%4","04.00.13","Office Expenses","300"
"0","0","6000","6000","7","04.00.21","Supplies & Materials","6600"
"0","0","11300","16500","4","04.00.28","Professional Services","27400"
"0","0","700","650","!","04.00.31","Grant-in-aid - General","250"
"0","0","12000","10000",",G","04.00.34","Scholarships & Stipends","10500"
"26533","0","2000","500","!","04.00.50","Other Charges","1000"
"26533","0","39500","36800",": -+(....)","","Total:Earth Observation Applications Mission (EOAM)","50000"
"","","","","","05","National Natural Resources Management System (NNRMS)",""
"17496","0","18200","20600","","05.00.01","Salaries","20700"
"0","0","50","50","*G","05.00.03","Overtime Allowance","50"
"298","0","200","200","10","05.00.06","Medical Treatment","200"
"292","0","200","200","4 ","05.00.11","Domestic Travel Expenses","200"
"0","0","200","200",",4","05.00.12","Foreign Travel Expenses","200"
"80","0","300","300","%4","05.00.13","Office Expenses","300"
"0","0","100","100","!4","05.00.20","Other Administrative Expenses","100"
"0","0","50","50","7","05.00.21","Supplies & Materials","50"
"0","0","50","50",",:","05.00.26","Advertising & Publicity","50"
"0","0","50","50","!,","05.00.30","Other Contractual Services","50"
"10350","0","40000","20000","!","05.00.31","Grant-in-aid - General","40000"
"207390","0","282500","158000","!","05.00.50","Other Charges","53000"
"","","","","?@","05.99","Information Technology",""
"0","0","2500","100","%4","05.99.13","Office Expenses","0"
"0","0","100","100","!","05.99.50","Other Charges","100"
"235906","0","344500","200000",":/","","Total:National Natural Resources Management System (NNRMS)","115000"
"","","","","0 -X *+ ","09","North-Eastern Space Applications Centre (NE SAC)",""
"72700","0","90000","59700","!","09.00.31","Grant-in-aid - General","110000"
"49000","0","45300","165300","","09.00.35","Grants for creation of Capital Assets","150000"
"0","50700","81000","75000","","09.00.36","Grant-in-aid - Salaries","90000"
"121700","50700","216300","300000",": 0 -X *+ ","","Total:North-Eastern Space Applications Centre (NE SAC)","350000"
"","","","","","10","Disaster Management Support (DMS)",""
"0","0","6500","5210","","10.00.01","Salaries","5700"
"0","0","4000","4500","4 ","10.00.11","Domestic Travel Expenses","3700"
"0","0","6500","2000","%4","10.00.13","Office Expenses","2900"
"0","0","100","100","","10.00.16","Publications","100"
"0","0","35100","25700","7","10.00.21","Supplies & Materials","38000"
"0","0","2400","490","%%","10.00.27","Minor Works","2400"
"0","0","50000","37000","4","10.00.28","Professional Services","20500"
"0","0","13000","5000","!,","10.00.30","Other Contractual Services","10000"
"0","0","1900","2000",",G","10.00.34","Scholarships & Stipends","2500"
"118176","0","1100","500","!","10.00.50","Other Charges","1000"
"","","","","?@","10.99","Information Technology",""
"0","0","3800","2500","%4","10.99.13","Office Expenses","8200"
"118176","0","124400","85000","","","Total:Disaster Management Support (DMS)","95000"
"","","","","/ ","11","National Remote Sensing Centre (NRSC)",""
"289896","1014965","1300000","1494000","","11.00.01","Salaries","1638000"
"0","53","100","100","","11.00.02","Wages","150"
"0","29","100","100","*G","11.00.03","Overtime Allowance","100"
"108521","10959","117500","125000","10","11.00.06","Medical Treatment","135000"
"21272","2265","31500","33100","4 ","11.00.11","Domestic Travel Expenses","36000"
"4199","600","3500","5000",",4","11.00.12","Foreign Travel Expenses","5500"
"130392","10084","182500","220000","%4","11.00.13","Office Expenses","220000"
"32329","12000","50000","49700","1,","11.00.14","Rent, Rates & Taxes","55000"
"21297","2495","36950","47000","!4","11.00.20","Other Administrative Expenses","50000"
"147999","15499","159305","110000","7","11.00.21","Supplies & Materials","110000"
"2498","500","5000","3000","","11.00.24","POL","3500"
"0","9973","16000","16000",",:","11.00.26","Advertising & Publicity","20000"
"81491","7503","85000","100000","%%","11.00.27","Minor Works","100000"
"179099","14999","207250","225000","4","11.00.28","Professional Services","230000"
"242997","9799","255700","275000","!,","11.00.30","Other Contractual Services","290000"
"0","173","400","500","!","11.00.31","Grant-in-aid - General","500"
"0","1093","500","2000",",G","11.00.34","Scholarships & Stipends","2500"
"0","0","500","500","!- *","11.00.50","Other Charges- Charged","400"
"19099","4798","37550","21000","","","Voted","24350"
"","","","","I%(...)","11.96","Swachhata Action Plan (SAP)",""
"0","0","0","0","%%","11.96.27","Minor Works","5000"
"","","","","?@","11.99","Information Technology",""
"12997","997","23070","23000","%4","11.99.13","Office Expenses","24000"
"3926","65","66975","50000","!","11.99.50","Other Charges","50000"
"1298012","1118849","2579400","2800000","","","Total:National Remote Sensing Centre (NRSC)","3000000"
"0","0","500","500","(....) *","","Charged","400"
"1298012","1118849","2578900","2799500","","","Voted","2999600"
"","","","","","12","Indian Institute of Remote Sensing (IIRS)",""
"96199","61800","164000","176000","","12.00.01","Salaries","184800"
"0","0","0","0","","12.00.02","Wages","0"
"0","35","100","50","*G","12.00.03","Overtime Allowance","50"
"10735","500","10500","10500","10","12.00.06","Medical Treatment","10500"
"3275","650","6000","6000","4 ","12.00.11","Domestic Travel Expenses","6000"
"515","75","500","500",",4","12.00.12","Foreign Travel Expenses","600"
"13091","1000","22265","20000","%4","12.00.13","Office Expenses","22500"
"0","0","83","90","1,","12.00.14","Rent, Rates & Taxes","100"
"0","0","110","110","","12.00.16","Publications","150"
"0","699","450","1300","!4","12.00.20","Other Administrative Expenses","1400"
"29497","200","53953","50000","7","12.00.21","Supplies & Materials","50000"
"750","50","800","800","","12.00.24","POL","1000"
"1325","1000","2200","2200",",:","12.00.26","Advertising & Publicity","2200"
"26023","200","27000","27000","%%","12.00.27","Minor Works","30000"
"5463","45","9450","10000","4","12.00.28","Professional Services","15000"
"13480","400","16209","30000","!,","12.00.30","Other Contractual Services","22000"
"0","62","154","450","!","12.00.31","Grant-in-aid - General","500"
"0","1063","4000","3000",",G","12.00.34","Scholarships & Stipends","3400"
"0","0","0","0","!- *","12.00.50","Other Charges- Charged","100"
"548","0","1908","500","","","Voted","2500"
"","","","","?@","12.99","Information Technology",""
"4434","116","19435","10000","%4","12.99.13","Office Expenses","12000"
"8600","100","11100","10000","!","12.99.50","Other Charges","10000"
"213935","67995","350217","358500","","","Total:Indian Institute of Remote Sensing (IIRS)","374800"
"4948760","3282782","9535838","9952500",": *+(%)","","Total:Space Applications","10747300"
"0","0","1000","1000","*","","Charged","1000"
"4948760","3282782","9534838","9951500","","","Voted","10746300"
"","","","","*+('%) (/)","3402","Space Research",""
"","","","","*+ ,:(%)","00.103","Space Sciences",""
"","","","","","01","Physical Research Laboratory (PRL)",""
"373700","0","600000","520000","!","01.00.31","Grant-in-aid - General","600000"
"440000","0","605800","765000","","01.00.35","Grants for creation of Capital Assets","540000"
"0","500000","594200","615000","","01.00.36","Grant-in-aid - Salaries","660000"
"813700","500000","1800000","1900000",":(...)","","Total:Physical Research Laboratory (PRL)","1800000"
"","","","","","04","National Atmospheric Research Laboratory (NARL)",""
"104926","0","120000","100000","!","04.00.31","Grant-in-aid - General","100000"
"77081","0","80000","40000","","04.00.35","Grants for creation of Capital Assets","190000"
"0","82000","100000","102000","","04.00.36","Grant-in-aid - Salaries","110000"
"182007","82000","300000","242000","","","Total:National Atmospheric Research Laboratory (NARL)","400000"
"","","","",",/","08","Sensor Payload Development/Planetary Science Programme",""
"0","0","300","0","4 ","08.00.11","Domestic Travel Expenses","0"
"0","0","100","0","%4","08.00.13","Office Expenses","0"
"0","0","100","0","!4","08.00.20","Other Administrative Expenses","0"
"0","0","72800","88600","!,","08.00.30","Other Contractual Services","82900"
"0","0","45000","13900","!","08.00.31","Grant-in-aid - General","20000"
"0","0","1000","0",",G","08.00.34","Scholarships & Stipends","0"
"0","0","500","0","!","08.00.50","Other Charges","0"
"","","","","?@","08.99","Information Technology",""
"9276","0","200","100","!","08.99.50","Other Charges","0"
"9276","0","120000","102600",":,//,:","","Total:Sensor Payload Development/Planetary Science Programme","102900"
"","","","","*","09","RESPOND",""
"236912","0","283600","246000","!","09.00.31","Grant-in-aid - General","300000"
"236912","0","283600","246000",": *","","Total:RESPOND","300000"
"","","","","","10","Astrosat",""
"432","0","0","0","4 ","10.00.11","Domestic Travel Expenses","0"
"0","0","0","0",",4","10.00.12","Foreign Travel Expenses","0"
"1054","0","0","0","%4","10.00.13","Office Expenses","0"
"403","0","0","0","!,","10.00.30","Other Contractual Services","0"
"111","0","0","0","!","10.00.50","Other Charges","0"
"2000","0","0","0",":","","Total:Astrosat","0"
"","","","","!- ! -12","11","Indian Lunar Mission - Chandrayaan - 1 & 2",""
"33","0","200","200","*G","11.00.03","Overtime Allowance","200"
"1735","0","2400","2400","4 ","11.00.11","Domestic Travel Expenses","3000"
"0","0","2500","2500",",4","11.00.12","Foreign Travel Expenses","2000"
"5911","0","3200","3200","%4","11.00.13","Office Expenses","2300"
"37","0","500","800","!4","11.00.20","Other Administrative Expenses","100"
"3431","0","2000","2000","7","11.00.21","Supplies & Materials","4500"
"1936","0","1000","3000","%%","11.00.27","Minor Works","700"
"1600","0","900","900","4","11.00.28","Professional Services","800"
"1570","0","100","183100","!,","11.00.30","Other Contractual Services","236000"
"243","0","1900","1900","!","11.00.50","Other Charges","400"
"16496","0","14700","200000",":!-","","Total:Indian Lunar Mission - Chandrayaan - 1 & 2","250000"
"","","","","10 ","14","ADITYA",""
"11","0","100","100","* G","14.00.03","Overtime Allowance","100"
"806","0","2800","2800","  4 ","14.00.11","Domestic Travel Expenses","7400"
"0","0","1500","1500",",  4","14.00.12","Foreign Travel Expenses","1000"
"16200","0","2900","4400","% 4","14.00.13","Office Expenses","20000"
"1154","0","1200","1400","!  4","14.00.20","Other Administrative Expenses","1000"
"0","0","2500","800","7   ","14.00.21","Supplies & Materials","66500"
"800","0","1500","2500","","14.00.27","Minor Works","2000"
"1103","0","1000","1000","4 ","14.00.28","Professional Services","1000"
"0","0","2000","1000","! , ","14.00.30","Other Contractual Services","40000"
"1914","0","1000","1000","","14.00.50","Other Charges","1000"
"21988","0","16500","16500",": 10 ","","Total:ADITYA","140000"
"","","","","N -  (N )","17","X-Ray Polarimeter Satellite (Xposat)",""
"0","0","38","300","* G","17.00.03","Overtime Allowance","300"
"0","0","760","1400","  4 ","17.00.11","Domestic Travel Expenses","1800"
"0","0","380","1000",",  4","17.00.12","Foreign Travel Expenses","1000"
"392","0","684","2000","% 4","17.00.13","Office Expenses","5600"
"0","0","380","800","!  4","17.00.20","Other Administrative Expenses","800"
"0","0","228","0","7   ","17.00.21","Supplies & Materials","2000"
"0","0","114","0",",:  ","17.00.26","Advertising & Publicity","0"
"0","0","380","500","","17.00.27","Minor Works","500"
"0","0","380","500","4 ","17.00.28","Professional Services","500"
"0","0","380","2500","! , ","17.00.30","Other Contractual Services","2500"
"0","0","76","500","","17.00.50","Other Charges","500"
"392","0","3800","9500",": N -  (N )","","Total:X-Ray Polarimeter Satellite (Xposat)","15500"
"","","","","*+ 1  /+ ","18","Space Docking Experiment Mission",""
"0","0","50","50","* G","18.00.03","Overtime Allowance","0"
"0","0","600","600","  4 ","18.00.11","Domestic Travel Expenses","1300"
"0","0","500","500",",  4","18.00.12","Foreign Travel Expenses","0"
"0","0","700","700","% 4","18.00.13","Office Expenses","1000"
"0","0","100","100","!  4","18.00.20","Other Administrative Expenses","500"
"0","0","200","200","7   ","18.00.21","Supplies & Materials","11200"
"0","0","100","100",",:  ","18.00.26","Advertising & Publicity","0"
"0","0","50","50","","18.00.27","Minor Works","0"
"0","0","100","100","4 ","18.00.28","Professional Services","500"
"0","0","50","50","! , ","18.00.30","Other Contractual Services","200"
"0","0","50","50","","18.00.50","Other Charges","300"
"0","0","2500","2500",": *+ 1  /+ ","","Total:Space Docking Experiment Mission","15000"
"","","","","","19","Climate & Atmospheric Programme",""
"0","0","6000","7000","  4 ","19.00.11","Domestic Travel Expenses","3000"
"0","0","2000","500","% 4","19.00.13","Office Expenses","2000"
"0","0","1000","7500","7   ","19.00.21","Supplies & Materials","7500"
"0","0","0","0","4 ","19.00.28","Professional Services","10000"
"0","0","5000","15000","! , ","19.00.30","Other Contractual Services","7500"
"0","0","162200","92000","","19.00.31","Grant-in-aid - General","108000"
"0","0","12800","8800",",G  ","19.00.34","Scholarships & Stipends","9000"
"142927","0","31000","3000","","19.00.50","Other Charges","3000"
"142927","0","220000","133800","","","Total:Climate & Atmospheric Programme","150000"
"","","","","*+ ,: %","20","Space Science Promotion",""
"39170","0","31500","31500","","20.00.31","Grant-in-aid - General","49000"
"39170","0","31500","31500",": *+ ,: %","","Total:Space Science Promotion","49000"
"","","","","","21","Mission to Venus",""
"0","0","2","0","* G","21.00.03","Overtime Allowance","10"
"0","0","30","0","  4 ","21.00.11","Domestic Travel Expenses","50"
"0","0","20","0",",  4","21.00.12","Foreign Travel Expenses","10"
"0","0","22","0","% 4","21.00.13","Office Expenses","50"
"0","0","5","0","!  4","21.00.20","Other Administrative Expenses","10"
"0","0","10","0","7   ","21.00.21","Supplies & Materials","30"
"0","0","2","0","","21.00.27","Minor Works","10"
"0","0","5","0","4 ","21.00.28","Professional Services","10"
"0","0","2","0","! , ","21.00.30","Other Contractual Services","10"
"0","0","2","0","","21.00.50","Other Charges","10"
"0","0","100","0","","","Total:Mission to Venus","200"
"","","",""," O+  - II","22","Mars Orbiter Mission - II",""
"0","0","1","0","* G","22.00.03","Overtime Allowance","10"
"0","0","40","0","  4 ","22.00.11","Domestic Travel Expenses","50"
"0","0","15","0",",  4","22.00.12","Foreign Travel Expenses","10"
"0","0","20","0","% 4","22.00.13","Office Expenses","50"
"0","0","5","0","!  4","22.00.20","Other Administrative Expenses","10"
"0","0","8","0","7   ","22.00.21","Supplies & Materials","20"
